barcode	sample	clone_id	target_gene	x_um	y_um
s_008um_00424_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3392.0
s_008um_00418_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3344.0
s_008um_00418_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3344.0
s_008um_00422_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3376.0
s_008um_00422_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3376.0
s_008um_00422_00141-1	lm994	lm994_MC0004	Ccn1	1128.0	3376.0
s_008um_00425_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3400.0
s_008um_00415_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3320.0
s_008um_00424_00149-1	lm994	lm994_MC0004	Ccn1	1192.0	3392.0
s_008um_00423_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3384.0
s_008um_00419_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3352.0
s_008um_00420_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3360.0
s_008um_00419_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3352.0
s_008um_00425_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3400.0
s_008um_00425_00148-1	lm994	lm994_MC0004	Ccn1	1184.0	3400.0
s_008um_00423_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3384.0
s_008um_00424_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3392.0
s_008um_00418_00148-1	lm994	lm994_MC0004	Ccn1	1184.0	3344.0
s_008um_00427_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3416.0
s_008um_00423_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3384.0
s_008um_00420_00142-1	lm994	lm994_MC0004	Ccn1	1136.0	3360.0
s_008um_00421_00142-1	lm994	lm994_MC0004	Ccn1	1136.0	3368.0
s_008um_00421_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3368.0
s_008um_00425_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3400.0
s_008um_00428_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3424.0
s_008um_00424_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3392.0
s_008um_00420_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3360.0
s_008um_00424_00148-1	lm994	lm994_MC0004	Ccn1	1184.0	3392.0
s_008um_00417_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3336.0
s_008um_00426_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3408.0
s_008um_00422_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3376.0
s_008um_00428_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3424.0
s_008um_00419_00142-1	lm994	lm994_MC0004	Ccn1	1136.0	3352.0
