anchor_id	patch_id	sample	day	replicate	guide	center_x	center_y	source_bins	mean_guide_total	mean_top_fraction	strict_fraction	edge_distance	posterior_mean	posterior_max
Day4_rep1_A000516	Day4_rep1_P000516	Day4_rep1	4	1	sgGata3	2429.0	14529.0	1	2.0	1.0	1.0	540.0	0.0	0.0
Day4_rep1_A000546	Day4_rep1_P000546	Day4_rep1	4	1	sgGata3	369.0	3749.0	1	2.0	1.0	1.0	256.12496949731394	0.0	0.0
Day4_rep1_A000564	Day4_rep1_P000564	Day4_rep1	4	1	sgGata3	3769.0	15689.0	1	2.0	1.0	1.0	460.0	0.0	0.0
Day4_rep1_A000565	Day4_rep1_P000565	Day4_rep1	4	1	sgGata3	10209.0	11909.0	1	2.0	1.0	1.0	1640.0	0.0	0.0
Day4_rep1_A000597	Day4_rep1_P000597	Day4_rep1	4	1	sgGata3	6609.0	3749.0	1	2.0	1.0	1.0	640.0	0.25406677	0.25406677
Day4_rep1_A000624	Day4_rep1_P000624	Day4_rep1	4	1	sgGata3	1649.0	5549.0	1	2.0	1.0	1.0	1160.0	0.0	0.0
Day4_rep1_A000632	Day4_rep1_P000632	Day4_rep1	4	1	sgGata3	8009.0	14909.0	1	2.0	1.0	1.0	920.0	0.0	0.0
Day4_rep1_A000639	Day4_rep1_P000639	Day4_rep1	4	1	sgGata3	3089.0	4989.0	1	2.0	1.0	1.0	600.0	0.25406677	0.25406677
Day4_rep1_A000664	Day4_rep1_P000664	Day4_rep1	4	1	sgGata3	7149.0	10069.0	1	2.0	1.0	1.0	200.0	0.25406677	0.25406677
Day4_rep1_A000670	Day4_rep1_P000670	Day4_rep1	4	1	sgGata3	6909.0	2389.0	1	2.0	1.0	1.0	160.0	0.0	0.0
Day4_rep1_A000673	Day4_rep1_P000673	Day4_rep1	4	1	sgGata3	11369.0	6149.0	1	2.0	1.0	1.0	1752.369823981228	0.0	0.0
Day4_rep1_A000678	Day4_rep1_P000678	Day4_rep1	4	1	sgGata3	7689.0	16709.0	1	2.0	1.0	1.0	560.0	0.0	0.0
Day4_rep1_A000683	Day4_rep1_P000683	Day4_rep1	4	1	sgGata3	2149.0	1189.0	1	2.0	1.0	1.0	1040.0	0.0	0.0
Day4_rep1_A000691	Day4_rep1_P000691	Day4_rep1	4	1	sgGata3	7009.0	16629.0	1	2.0	1.0	1.0	480.0	0.0	0.0
Day4_rep1_A000697	Day4_rep1_P000697	Day4_rep1	4	1	sgGata3	2949.0	2230.0	1	2.0	1.0	1.0	20.0	0.0	0.0
Day4_rep1_A000712	Day4_rep1_P000712	Day4_rep1	4	1	sgGata3	5089.0	14209.0	1	2.0	1.0	1.0	220.0	0.0	0.0
Day4_rep1_A000713	Day4_rep1_P000713	Day4_rep1	4	1	sgGata3	2829.0	15029.0	1	2.0	1.0	1.0	1040.0	0.0	0.0
Day4_rep1_A000739	Day4_rep1_P000739	Day4_rep1	4	1	sgGata3	829.0	2689.0	1	2.0	1.0	1.0	460.0	0.0	0.0
Day4_rep1_A000742	Day4_rep1_P000742	Day4_rep1	4	1	sgGata3	5909.0	6989.0	1	2.0	1.0	1.0	1120.0	0.0	0.0
Day4_rep1_A000754	Day4_rep1_P000754	Day4_rep1	4	1	sgGata3	1629.0	12049.0	1	2.0	1.0	1.0	1620.0	0.0	0.0
Day4_rep1_A000756	Day4_rep1_P000756	Day4_rep1	4	1	sgGata3	6449.0	7989.0	1	2.0	1.0	1.0	120.0	0.25406677	0.25406677
Day4_rep1_A000793	Day4_rep1_P000793	Day4_rep1	4	1	sgGata3	4349.0	15629.0	1	2.0	1.0	1.0	520.0	0.0	0.0
Day4_rep1_A000800	Day4_rep1_P000800	Day4_rep1	4	1	sgGata3	1329.0	13609.0	1	2.0	1.0	1.0	380.0	0.25406677	0.25406677
Day4_rep1_A000808	Day4_rep1_P000808	Day4_rep1	4	1	sgGata3	969.0	9789.0	1	2.0	1.0	1.0	480.0	0.0	0.0
Day4_rep2_A000605	Day4_rep2_P000605	Day4_rep2	4	2	sgGata3	2569.0	9389.0	1	2.0	1.0	1.0	325.5764119219941	0.0	0.0
Day4_rep2_A000629	Day4_rep2_P000629	Day4_rep2	4	2	sgGata3	8709.0	7709.0	1	2.0	1.0	1.0	360.0	0.21407041	0.21407041
Day4_rep2_A000784	Day4_rep2_P000784	Day4_rep2	4	2	sgGata3	9388.0	5769.0	1	2.0	1.0	1.0	320.0	0.21407041	0.21407041
Day4_rep2_A000892	Day4_rep2_P000892	Day4_rep2	4	2	sgGata3	14869.0	1179.0	2	1.0	1.0	0.0	80.0	0.30718598	0.30718598
Day4_rep2_A000909	Day4_rep2_P000909	Day4_rep2	4	2	sgGata3	12149.0	5589.0	1	2.0	1.0	1.0	440.0	0.21407041	0.21407041
Day4_rep2_A000927	Day4_rep2_P000927	Day4_rep2	4	2	sgGata3	12869.0	8549.0	1	2.0	1.0	1.0	703.420215802759	0.0	0.0
Day4_rep2_A000969	Day4_rep2_P000969	Day4_rep2	4	2	sgGata3	11659.0	7529.0	2	1.0	1.0	0.0	40.0	0.30718598	0.30718598
