day	guide	inner_buffer	response	response_kind	target_cell_type	block_size	sample_1_patches	sample_2_patches	effect	ci_low	ci_high	permutation_p	replicate_direction_consistency	sample_effect_min	sample_effect_max	spatial_blocks	global_fdr
7	sgGata3	20.0	cytotoxicity	state	T+NK	200.0	31	27	0.03120892747275291	-0.034795171005613516	0.10286099481270639	0.416	0.5	-0.04338716955915574	0.10580502450466156	58	
7	sgGata3	20.0	exhaustion	state	T+NK	200.0	31	27	-0.021703937272301993	-0.046920812737128254	0.005526981361598635	0.089	1.0	-0.03528920549058145	-0.008118669054022542	58	
7	sgGata3	20.0	fraction_DC	composition	DC	200.0	31	27	-0.005165520805328417	-0.014130884576169076	0.004441259415344634	0.299	1.0	-0.007391005999554078	-0.0029400356111027553	58	
7	sgGata3	20.0	fraction_Endothelial	composition	Endothelial	200.0	31	27	0.007423619087624931	0.0009202378847023934	0.0144584658099874	0.038	1.0	0.0038941828957913586	0.010953055279458503	58	
7	sgGata3	20.0	fraction_Fibroblast	composition	Fibroblast	200.0	31	27	0.005670802915518304	-0.010867428780811997	0.02155746038348456	0.509	0.5	-0.0011721329604860511	0.01251373879152266	58	
7	sgGata3	20.0	fraction_Macrophages	composition	Macrophages	200.0	31	27	-0.010080680416115852	-0.03904985268028229	0.02187042088127685	0.556	1.0	-0.018403220172634793	-0.0017581406595969106	58	
7	sgGata3	20.0	fraction_Malignant	composition	Malignant	200.0	31	27	0.005315512389610562	-0.013904957303328584	0.023375728889247063	0.577	0.5	-0.0022374005084683513	0.012868425287689476	58	
7	sgGata3	20.0	fraction_NK	composition	NK	200.0	31	27	0.004049394533211012	-0.0017084922764809155	0.010408769750845225	0.215	1.0	0.003305148445540576	0.004793640620881449	58	
7	sgGata3	20.0	fraction_T	composition	T	200.0	31	27	-0.011991032855156653	-0.03049512152054704	0.007160002151892708	0.25	1.0	-0.017271531391140182	-0.006710534319173123	58	
7	sgGata3	20.0	hypoxia	state	Malignant	200.0	31	27	-0.014655678511876501	-0.06267027914476232	0.03310537748956735	0.587	0.5	-0.03051154111181536	0.001200184088062357	58	
7	sgGata3	20.0	ifn_response	state	Malignant	200.0	31	27	0.022866217610888015	-0.025510235807525712	0.08594373244655354	0.408	1.0	0.013395675630481154	0.032336759591294874	58	
7	sgGata3	20.0	macrophage_inflammatory	state	Macrophages	200.0	31	27	-0.010710031132958162	-0.04249717038829411	0.023674567740673693	0.538	1.0	-0.02060614045589201	-0.0008139218100243144	58	
7	sgGata3	20.0	macrophage_spp1_trem2	state	Macrophages	200.0	31	27	-0.0237575465882266	-0.08080839829646239	0.03138022649913063	0.45	1.0	-0.03431525716075191	-0.013199836015701294	58	
7	sgGata3	20.0	tgfb_ecm	state	Fibroblast	200.0	28	25	-0.05289473493184362	-0.18856904780438968	0.06108356949979705	0.434	0.5	-0.19510560163429805	0.0893161317706108	53	
7	sgGata3	40.0	cytotoxicity	state	T+NK	200.0	31	27	0.05337391992231993	-0.016056282887638076	0.1333733706600439	0.178	1.0	0.0007078789414898042	0.10603996090315006	58	
7	sgGata3	40.0	exhaustion	state	T+NK	200.0	31	27	-0.025315417702284196	-0.05138104359822108	0.003397432142373997	0.079	1.0	-0.04630295139166617	-0.004327884012902224	58	
7	sgGata3	40.0	fraction_DC	composition	DC	200.0	31	27	-0.0024924708959461594	-0.013187693240025177	0.00859584461001026	0.627	0.5	-0.005712930066367839	0.0007279882744755203	58	
7	sgGata3	40.0	fraction_Endothelial	composition	Endothelial	200.0	31	27	0.005097568254134738	-0.0018083268268125447	0.012595357306706297	0.185	0.5	-0.0004200439959549125	0.010615180504224388	58	
7	sgGata3	40.0	fraction_Fibroblast	composition	Fibroblast	200.0	31	27	0.010267553619107025	-0.005553503539062468	0.025991871963953046	0.268	1.0	0.01016170843399312	0.010373398804220932	58	
7	sgGata3	40.0	fraction_Macrophages	composition	Macrophages	200.0	31	27	-0.009564997222110884	-0.042147166562812	0.027350241567506862	0.587	0.5	-0.020350090446282373	0.0012200960020606073	58	
7	sgGata3	40.0	fraction_Malignant	composition	Malignant	200.0	31	27	0.006224389304749485	-0.013264132040070414	0.02500073752557613	0.579	0.5	-0.009053172984405868	0.021501951593904837	58	
7	sgGata3	40.0	fraction_NK	composition	NK	200.0	31	27	0.006490996601803163	-0.0008604278147472624	0.013265050981292735	0.078	1.0	0.003621743623351058	0.009360249580255267	58	
7	sgGata3	40.0	fraction_T	composition	T	200.0	31	27	-0.01509339684141712	-0.0349042667820217	0.0049200693892165	0.16	0.5	-0.03026123775404086	7.444407120662115e-05	58	
7	sgGata3	40.0	hypoxia	state	Malignant	200.0	31	27	-0.018369645828307742	-0.07272657582857908	0.0386136920663685	0.554	1.0	-0.023921072723404053	-0.012818218933211433	58	
7	sgGata3	40.0	ifn_response	state	Malignant	200.0	31	27	0.03402903546738297	-0.020881895654697943	0.08792124458587547	0.19	1.0	0.024584659823664912	0.04347341111110103	58	
7	sgGata3	40.0	macrophage_inflammatory	state	Macrophages	200.0	31	27	-0.008194063660514006	-0.04330916577989621	0.029104123487617893	0.662	0.5	-0.0211243518898564	0.004736224568828389	58	
7	sgGata3	40.0	macrophage_spp1_trem2	state	Macrophages	200.0	31	27	0.02039849920156039	-0.04255046813594113	0.089161558360253	0.518	1.0	0.0025491719284365254	0.038247826474684256	58	
7	sgGata3	40.0	tgfb_ecm	state	Fibroblast	200.0	28	24	-0.11156621652965744	-0.25797603848955725	0.019343786456600003	0.122	0.5	-0.2608724534511566	0.03774002039184173	52	
7	sgGata3	60.0	cytotoxicity	state	T+NK	200.0	29	26	0.09468059716573285	-0.022822481117628766	0.21707898264859526	0.155	1.0	0.05794250682510178	0.13141868750636393	55	
7	sgGata3	60.0	exhaustion	state	T+NK	200.0	29	26	-0.02230255744995584	-0.05059462208566391	0.00802201874092818	0.163	1.0	-0.025802436141440503	-0.018802678758471178	55	
7	sgGata3	60.0	fraction_DC	composition	DC	200.0	31	27	-0.0013340272242974333	-0.012622603547957533	0.009997640887103398	0.791	0.5	-0.004860652755591657	0.0021925983069967904	58	
7	sgGata3	60.0	fraction_Endothelial	composition	Endothelial	200.0	31	27	0.003724264053533799	-0.0044610910878778096	0.013171608118964713	0.387	1.0	0.002626801740949301	0.004821726366118297	58	
7	sgGata3	60.0	fraction_Fibroblast	composition	Fibroblast	200.0	31	27	0.017568983377384544	-0.00290390598326115	0.03971572690563689	0.109	1.0	0.01313086293823534	0.02200710381653375	58	
7	sgGata3	60.0	fraction_Macrophages	composition	Macrophages	200.0	31	27	-0.00764305128842188	-0.04411195747249413	0.031150970177643466	0.698	0.5	-0.022366788734910478	0.0070806861580667195	58	
7	sgGata3	60.0	fraction_Malignant	composition	Malignant	200.0	31	27	-0.01294709346086647	-0.03943657465456485	0.012207245103675678	0.357	0.5	-0.03521522516513378	0.009321038243400836	58	
7	sgGata3	60.0	fraction_NK	composition	NK	200.0	31	27	0.0075672220578626125	-0.0021966786571890923	0.017580647650195028	0.178	1.0	0.004556895364954411	0.010577548750770813	58	
7	sgGata3	60.0	fraction_T	composition	T	200.0	31	27	-0.013447866626984814	-0.03708804908219288	0.009223800904607594	0.294	0.5	-0.02773873632803067	0.0008430030740610401	58	
7	sgGata3	60.0	hypoxia	state	Malignant	200.0	30	26	0.04595867265493442	-0.020007567654769774	0.12068509286639682	0.213	1.0	0.009278248135860149	0.08263909717400869	56	
7	sgGata3	60.0	ifn_response	state	Malignant	200.0	30	26	0.01816654883038539	-0.02913598737798822	0.07070088293140707	0.508	0.5	-0.011242376497158637	0.04757547415792942	56	
7	sgGata3	60.0	macrophage_inflammatory	state	Macrophages	200.0	31	27	0.022627511231413416	-0.025351236836543573	0.06817421622719255	0.348	0.5	-0.037730621834916454	0.08298564429774329	58	
7	sgGata3	60.0	macrophage_spp1_trem2	state	Macrophages	200.0	31	27	0.06832166875544557	-0.028200438190273843	0.16100854461538638	0.162	1.0	0.06338263062700149	0.07326070688388965	58	
7	sgGata3	60.0	tgfb_ecm	state	Fibroblast	200.0	17	20	-0.10011395352947361	-0.3193900292911841	0.08895998175584652	0.356	1.0	-0.18062572268878713	-0.019602184370160102	37	
7	sgZc3h12a	20.0	cytotoxicity	state	T+NK	200.0	86	30	0.012290994277180629	-0.043845935255115806	0.06991276878415957	0.687	0.5	-0.025973745036956875	0.05055573359131813	116	
7	sgZc3h12a	20.0	exhaustion	state	T+NK	200.0	86	30	-0.0048803501668595525	-0.02580517018092038	0.019701787863628813	0.647	1.0	-0.008112272756650697	-0.0016484275770684083	116	
7	sgZc3h12a	20.0	fraction_DC	composition	DC	200.0	86	30	0.004432462671129064	-0.0031427358114301846	0.012903239508355518	0.299	1.0	0.0026861339071149975	0.00617879143514313	116	
7	sgZc3h12a	20.0	fraction_Endothelial	composition	Endothelial	200.0	86	30	0.0033052203512983474	-0.001948403957566642	0.008288251478344251	0.229	0.5	-5.57898794824463e-05	0.006666230582079141	116	
7	sgZc3h12a	20.0	fraction_Fibroblast	composition	Fibroblast	200.0	86	30	-0.0021564556968240523	-0.01577604201649262	0.011704709364016257	0.774	0.5	-0.00691424284949629	0.002601331455848186	116	
7	sgZc3h12a	20.0	fraction_Macrophages	composition	Macrophages	200.0	86	30	-0.011969360531553452	-0.04025290122058835	0.008455259555277954	0.32	1.0	-0.018663930549594344	-0.005274790513512559	116	
7	sgZc3h12a	20.0	fraction_Malignant	composition	Malignant	200.0	86	30	0.012729059566160883	-0.0004096041497468549	0.029913474742903557	0.105	1.0	0.00863854936208827	0.016819569770233495	116	
7	sgZc3h12a	20.0	fraction_NK	composition	NK	200.0	86	30	0.005858061729936642	0.0010828295646808576	0.0111868729525763	0.033	1.0	0.005007867025146292	0.006708256434726991	116	
7	sgZc3h12a	20.0	fraction_T	composition	T	200.0	86	30	-0.005120732586677781	-0.019069405256482375	0.007723692494037052	0.403	1.0	-0.009740815000670254	-0.0005006501726853092	116	
7	sgZc3h12a	20.0	hypoxia	state	Malignant	200.0	86	30	-0.02800349824477074	-0.07356693869214795	0.017946492409218067	0.262	1.0	-0.03404336401023144	-0.021963632479310036	116	
7	sgZc3h12a	20.0	ifn_response	state	Malignant	200.0	86	30	-0.00020578100613152274	-0.03344355336513168	0.03014539696323114	0.992	0.5	-0.019213120515147845	0.0188015585028848	116	
7	sgZc3h12a	20.0	macrophage_inflammatory	state	Macrophages	200.0	86	30	-0.00013497220604976462	-0.027302974719904335	0.024616914393692527	0.99	0.5	-0.00654052405928572	0.006270579647186191	116	
7	sgZc3h12a	20.0	macrophage_spp1_trem2	state	Macrophages	200.0	86	30	-0.046742145081823186	-0.09148093844381298	-0.00031593345307797175	0.055	1.0	-0.06325997312863668	-0.030224317035009694	116	
7	sgZc3h12a	20.0	tgfb_ecm	state	Fibroblast	200.0	75	28	0.017867091010723795	-0.0744607895327998	0.10715645627491176	0.72	0.5	-0.020309969186782836	0.056044151208230426	103	
7	sgZc3h12a	40.0	cytotoxicity	state	T+NK	200.0	84	30	0.022005981827775637	-0.035343187595052374	0.07961860877528254	0.518	1.0	0.008879881352186203	0.03513208230336507	114	
7	sgZc3h12a	40.0	exhaustion	state	T+NK	200.0	84	30	-0.010057088855787048	-0.03115005306262035	0.010166805771379064	0.368	1.0	-0.010390323183188836	-0.00972385452838526	114	
7	sgZc3h12a	40.0	fraction_DC	composition	DC	200.0	86	30	0.007374352831260856	-0.0026847867925128372	0.018093008783738953	0.127	1.0	0.00677411401559157	0.007974591646930143	116	
7	sgZc3h12a	40.0	fraction_Endothelial	composition	Endothelial	200.0	86	30	0.00015321694131693354	-0.0050077118969644495	0.005373986089204163	0.951	0.5	-0.001623371963020538	0.0019298058456544052	116	
7	sgZc3h12a	40.0	fraction_Fibroblast	composition	Fibroblast	200.0	86	30	0.0013042632202881072	-0.012630591492862844	0.014638335903100012	0.849	0.5	-0.00396868998371987	0.006577216424296085	116	
7	sgZc3h12a	40.0	fraction_Macrophages	composition	Macrophages	200.0	86	30	-0.006545000555161394	-0.034430783908990945	0.019567470112824982	0.633	0.5	-0.01605370351001949	0.002963702399696703	116	
7	sgZc3h12a	40.0	fraction_Malignant	composition	Malignant	200.0	86	30	0.012820849338696053	-0.003747147391092201	0.028452900934992455	0.147	1.0	0.007887082596262288	0.017754616081129816	116	
7	sgZc3h12a	40.0	fraction_NK	composition	NK	200.0	86	30	0.0066250294300438765	0.0006073733860707091	0.013533598942554981	0.046	1.0	0.006537739921298257	0.006712318938789496	116	
7	sgZc3h12a	40.0	fraction_T	composition	T	200.0	86	30	-0.01128650903110763	-0.02492589564400082	-0.00025744455057660374	0.094	1.0	-0.011611748851965828	-0.010961269210249432	116	
7	sgZc3h12a	40.0	hypoxia	state	Malignant	200.0	86	30	-0.017328099984415743	-0.06924979191168767	0.03351655243603554	0.533	1.0	-0.030668360739946367	-0.003987839228885118	116	
7	sgZc3h12a	40.0	ifn_response	state	Malignant	200.0	86	30	0.015061382108996081	-0.01709172673924111	0.04629188459449585	0.432	0.5	-0.008276454731822014	0.03839921894981418	116	
7	sgZc3h12a	40.0	macrophage_inflammatory	state	Macrophages	200.0	86	30	0.013991182580835714	-0.015202014151475094	0.04311508859319126	0.353	1.0	0.009828528800849305	0.018153836360822122	116	
7	sgZc3h12a	40.0	macrophage_spp1_trem2	state	Macrophages	200.0	86	30	-0.015512996005226475	-0.06388389629174687	0.02628969331062579	0.476	1.0	-0.02285625139872233	-0.00816974061173062	116	
7	sgZc3h12a	40.0	tgfb_ecm	state	Fibroblast	200.0	73	28	-0.006665508782239576	-0.09444348989856483	0.08029402244039638	0.896	0.5	-0.03525900574667113	0.02192798818219198	101	
7	sgZc3h12a	60.0	cytotoxicity	state	T+NK	200.0	77	30	-0.014322646904043305	-0.09633789861623149	0.07069311419481736	0.699	0.5	-0.03164829115072886	0.0030029973426422517	107	
7	sgZc3h12a	60.0	exhaustion	state	T+NK	200.0	77	30	-0.013723827471343791	-0.04131498856929603	0.01311040820908183	0.371	0.5	-0.039695900337149696	0.012248245394462115	107	
7	sgZc3h12a	60.0	fraction_DC	composition	DC	200.0	86	30	0.006834906019379767	-0.005054384771160111	0.01871236986443016	0.281	1.0	0.0002125367347435167	0.013457275304016017	116	
7	sgZc3h12a	60.0	fraction_Endothelial	composition	Endothelial	200.0	86	30	-0.00010711620621953045	-0.00650502059598437	0.005975451526199722	0.973	0.5	-0.0005588508834324063	0.0003446184709933454	116	
7	sgZc3h12a	60.0	fraction_Fibroblast	composition	Fibroblast	200.0	86	30	0.010121819604931127	-0.004631864772222537	0.02719102919952683	0.233	0.5	-0.001973618315001244	0.022217257524863497	116	
7	sgZc3h12a	60.0	fraction_Macrophages	composition	Macrophages	200.0	86	30	-0.02063198063502869	-0.04717735861858708	0.00884585204971226	0.191	0.5	-0.04482616103247701	0.0035621997624196325	116	
7	sgZc3h12a	60.0	fraction_Malignant	composition	Malignant	200.0	86	30	0.009286978892989484	-0.012056580965460816	0.029845330478500555	0.36	1.0	0.006740007757094157	0.01183395002888481	116	
7	sgZc3h12a	60.0	fraction_NK	composition	NK	200.0	86	30	0.007324282981768357	-0.0007855891218161055	0.01556727090706767	0.108	1.0	0.00718704178193339	0.007461524181603325	116	
7	sgZc3h12a	60.0	fraction_T	composition	T	200.0	86	30	-0.012729090238070721	-0.02777863590492624	0.0035835437458760066	0.122	1.0	-0.016497145996126214	-0.008961034480015227	116	
7	sgZc3h12a	60.0	hypoxia	state	Malignant	200.0	82	30	0.04775698008242904	-0.006522696449353201	0.10600261167157439	0.123	1.0	0.014177041128277779	0.0813369190365803	112	
