entity_id	sample	target_gene	guide	ring_id	ring_start_um	ring_end_um	total_bins	malignant_bins	malignant_fraction	malignant_hypoxia_score_mean	malignant_ifn_response_score_mean	whole_neighbourhood_hypoxia_score_mean	whole_neighbourhood_ifn_response_score_mean
clone_000119	subQ-2	Rab8a	sgRab8a_1	0	0.0	20.0	245	101	0.4122448979591837	0.632974423918637	0.11551618521969097	0.549953881864754	0.16364575028114267
clone_000119	subQ-2	Rab8a	sgRab8a_1	1	20.0	40.0	225	50	0.2222222222222222	0.7979345397387072	0.14109561354743597	0.5305851959304055	0.22026198292970062
clone_000119	subQ-2	Rab8a	sgRab8a_1	2	40.0	80.0	513	131	0.2553606237816764	0.6420888662576492	0.14993680129790557	0.47719452316128214	0.19946507007888714
clone_000119	subQ-2	Rab8a	sgRab8a_1	3	80.0	120.0	652	131	0.200920245398773	0.5474924890803816	0.13587280645957708	0.4674916206187564	0.2566278032433978
clone_000119	subQ-2	Rab8a	sgRab8a_1	4	120.0	200.0	1826	426	0.23329682365826945	0.5424744948453516	0.20795619324920414	0.46695393745279307	0.2601552249951524
clone_000120	subQ-2	Rab8a	sgRab8a_1	0	0.0	20.0	338	77	0.22781065088757396	0.6337974554785317	0.13611409872272498	0.4761560783931822	0.21994078697796685
clone_000120	subQ-2	Rab8a	sgRab8a_1	1	20.0	40.0	271	48	0.17712177121771217	0.6081699400569412	0.183502381368404	0.46473675164925543	0.2439361126163901
clone_000120	subQ-2	Rab8a	sgRab8a_1	2	40.0	80.0	595	158	0.26554621848739496	0.5727842501769976	0.1773206807548689	0.4474885355486683	0.23207971257918697
clone_000120	subQ-2	Rab8a	sgRab8a_1	3	80.0	120.0	735	241	0.32789115646258504	0.6128646954026068	0.161882396820141	0.5329557302566895	0.21694967880727678
clone_000120	subQ-2	Rab8a	sgRab8a_1	4	120.0	200.0	1992	688	0.3453815261044177	0.6104140276041233	0.16728600598200707	0.5232912898520657	0.2234046328669
clone_000122	subQ-2	Rab8a	sgRab8a_1	0	0.0	20.0	114	38	0.3333333333333333	0.6872215923142108	0.1213918180859626	0.5728871743710916	0.11432967791106964
clone_000122	subQ-2	Rab8a	sgRab8a_1	1	20.0	40.0	142	39	0.2746478873239437	0.6731156980187522	0.21508070935647416	0.6573920529192984	0.1857077750721386
clone_000122	subQ-2	Rab8a	sgRab8a_1	2	40.0	80.0	378	117	0.30952380952380953	0.6830909201524846	0.12973421192372062	0.6283099553427908	0.16276468445890444
clone_000122	subQ-2	Rab8a	sgRab8a_1	3	80.0	120.0	525	183	0.3485714285714286	0.6276538833747424	0.13898533227763532	0.5541604767044401	0.1600548804365794
clone_000122	subQ-2	Rab8a	sgRab8a_1	4	120.0	200.0	1558	470	0.30166880616174585	0.644803847214727	0.1516555370237741	0.5346489778397856	0.20323751264913575
clone_000124	subQ-2	Rab8a	sgRab8a_1	0	0.0	20.0	132	38	0.2878787878787879	0.6391158710465309	0.08919337180482079	0.5612798094057012	0.09619043157860867
clone_000124	subQ-2	Rab8a	sgRab8a_1	1	20.0	40.0	165	56	0.3393939393939394	0.5114516714048467	0.12906083604280388	0.5333720566251277	0.1727772888076006
clone_000124	subQ-2	Rab8a	sgRab8a_1	2	40.0	80.0	413	114	0.27602905569007263	0.6021731864012199	0.2068176573596445	0.45900552373523695	0.21158855783980446
clone_000124	subQ-2	Rab8a	sgRab8a_1	3	80.0	120.0	556	114	0.20503597122302158	0.39796890605851387	0.19908408588368118	0.3608775984174909	0.24046103008718575
clone_000124	subQ-2	Rab8a	sgRab8a_1	4	120.0	200.0	1624	305	0.18780788177339902	0.49089450263396406	0.18876086181204366	0.37147050911205565	0.2875322446854667
