gene,response,n_slices,n_cohorts,combined_p,direction_consistent,mean_delta,min_p,slices,cohorts,combined_q
Blnk,score_cd8_like,6,2,0.0,False,0.3622477259374201,0.0,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.0
Ccn1,score_malignant,6,2,0.0,False,0.10506542589378189,0.0,"M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.0
Ccn1,score_ifn_response,6,2,0.0,False,0.09571294231613732,0.0,"M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.0
Ccn1,score_hypoxia,6,2,0.0,False,0.167207716220883,0.0,"M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.0
Ccn1,score_macrophage,6,2,1.0511494824799118e-63,False,-0.196824816863144,3.283027843454721e-238,"M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",1.0301264928303137e-62
Phgr1,score_fibroblast,7,2,3.6703301640824904e-61,True,0.4282304445141875,4.767657106022915e-64,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",2.997436300667367e-60
Phgr1,score_ifn_response,7,2,8.434166285580693e-58,False,0.1659874464609355,1.0076964325746697e-116,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",5.903916399906486e-57
Rab8a,score_malignant,6,2,8.152079138553052e-57,True,0.49279539529994687,2.648011374791548e-89,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",4.993148472363744e-56
Phgr1,score_cd8_like,7,2,2.235014707496543e-45,False,0.01706814734866874,1.7377187078072237e-110,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",1.2168413407481178e-44
Phgr1,score_macrophage,7,2,2.269085049847237e-42,True,0.41009232775414983,2.0406265419059303e-52,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",1.1118516744251461e-41
Ccn1,score_cd8_like,6,2,6.337821491296948e-42,False,0.16983094675968066,2.2779864019544187e-191,"M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",2.823211391577731e-41
