gene,response,n_slices,combined_p_durbin,direction_consistent,mean_durbin_delta,min_durbin_p,slices_present,combined_q
Phgr1,score_ifn_response,2,7.006276757232106e-89,True,1.054909335172246,1.0076964325746697e-116,"M001,M002",2.829457921189889e-87
Phgr1,score_fibroblast,2,1.852763951126212e-46,True,0.35483690575641025,4.767657106022915e-64,"M001,M002",3.242336914470871e-45
Phgr1,score_hypoxia,2,3.717686049760251e-21,True,0.7574211931321704,2.187260120355918e-19,"M001,M002",2.828674168295843e-20
Phgr1,score_endothelial,2,3.7098219541664574e-17,True,-0.1987613301675487,7.83328787882151e-20,"M001,M002",2.4045142295523337e-16
Utrn,score_hypoxia,3,4.321312202110977e-17,True,0.49470866192108526,8.678449070993e-18,"M001,M002,M003",2.766693787936906e-16
Phgr1,score_macrophage,2,1.0757440298254518e-16,True,0.26217496086036374,8.996714051333883e-11,"M001,M002",6.49155880067083e-16
Cttn,score_endothelial,2,1.5794746731841406e-13,True,-0.11777545341898024,2.3969739895492462e-20,"M001,M002",7.210645247144989e-13
Cttn,score_fibroblast,2,1.2305546014833296e-08,True,-0.30320353733889555,1.2991973594501633e-12,"M001,M002",3.6916638044499884e-08
Cttn,score_malignant,2,4.581688891247128e-06,True,-0.12718887808731838,8.061711512325599e-08,"M001,M002",1.0412929298288926e-05
Utrn,score_ifn_response,3,0.0007916638179773851,True,-0.22541427597508,0.0015654230926162,"M001,M002,M003",0.0012867600756598365
Cttn,score_cd8_like,2,0.015272093165805276,True,0.0382303658569004,0.0520134172143099,"M001,M002",0.020506007447692504
