slice,cohort,gene,response,n_sources,durbin_delta,durbin_p,durbin_lambda,did_delta,did_p
M001,cohort1,Phgr1,score_malignant,,1.073898772325904,7.145414845281233e-29,30.0,7.191300392150879e-05,0.9978700943163412
M001,cohort1,Phgr1,score_cd8_like,,0.0273927948854295,0.3299818977110342,150.0,0.0608293451368808,0.0010238288039829
M001,cohort1,Phgr1,score_macrophage,,0.3457100688375339,8.996714051333883e-11,30.0,-0.0312178842723369,0.1078180961812655
M001,cohort1,Phgr1,score_fibroblast,,0.6190879267665857,4.767657106022915e-64,60.0,-0.0692344978451728,0.000529904574559
M001,cohort1,Phgr1,score_endothelial,,-0.0986604970188567,0.0029368603976626,30.0,0.0373504869639873,0.0081642297308073
M001,cohort1,Phgr1,score_hypoxia,,1.34075972166205,2.187260120355918e-19,30.0,0.048834353685379,0.1019297777572891
M001,cohort1,Phgr1,score_ifn_response,,0.265582780701181,6.390884183480179e-08,150.0,0.0589897558093071,0.001189582841214
subQ-1,cohort2,Phgr1,score_ifn_response,851.0,0.0901828309716523,0.0537955699551235,150.0,0.1223981231451034,0.0
subQ-1,cohort2,Phgr1,score_fibroblast,851.0,0.9396997605026636,2.527259391349129e-28,30.0,0.0568828135728836,5.694539861433867e-05
subQ-1,cohort2,Phgr1,score_hypoxia,851.0,0.086434275707675,2.190179287800477e-09,100.0,-0.0376398339867591,2.010462507584521e-07
subQ-1,cohort2,Phgr1,score_macrophage,851.0,0.7283260271889443,2.0406265419059303e-52,30.0,0.0725715458393096,0.0
subQ-1,cohort2,Phgr1,score_cd8_like,851.0,0.532797261273839,1.7377187078072237e-110,30.0,0.0294717885553836,7.523648575902264e-05
subQ-1,cohort2,Phgr1,score_endothelial,851.0,-0.2232148230852039,4.820342338454489e-07,30.0,0.0611006133258342,8.671730000742173e-12
subQ-1,cohort2,Phgr1,score_malignant,851.0,0.3489061543854274,3.222312427777777e-34,30.0,-0.0227952413260936,0.0002681941234381
subQ-2,cohort2,Phgr1,score_ifn_response,314.0,,,,,
subQ-2,cohort2,Phgr1,score_fibroblast,314.0,,,,,
subQ-2,cohort2,Phgr1,score_hypoxia,314.0,,,,,
subQ-2,cohort2,Phgr1,score_macrophage,314.0,,,,,
subQ-2,cohort2,Phgr1,score_cd8_like,314.0,,,,,
subQ-2,cohort2,Phgr1,score_endothelial,314.0,,,,,
subQ-2,cohort2,Phgr1,score_malignant,314.0,,,,,
subQ-3,cohort2,Phgr1,score_ifn_response,158.0,,,,,
subQ-3,cohort2,Phgr1,score_fibroblast,158.0,,,,,
subQ-3,cohort2,Phgr1,score_hypoxia,158.0,,,,,
subQ-3,cohort2,Phgr1,score_macrophage,158.0,,,,,
subQ-3,cohort2,Phgr1,score_cd8_like,158.0,,,,,
subQ-3,cohort2,Phgr1,score_endothelial,158.0,,,,,
subQ-3,cohort2,Phgr1,score_malignant,158.0,,,,,
subQ-4,cohort2,Phgr1,score_ifn_response,319.0,-1.5360517154724025,0.0162600530784222,30.0,,
subQ-4,cohort2,Phgr1,score_fibroblast,319.0,0.0635482060412659,0.0383599313073881,30.0,,
subQ-4,cohort2,Phgr1,score_hypoxia,319.0,0.1467213633128486,0.6043314481925834,30.0,,
subQ-4,cohort2,Phgr1,score_macrophage,319.0,0.3876933621069275,0.3535745108863325,150.0,,
subQ-4,cohort2,Phgr1,score_cd8_like,319.0,-0.2786327054448363,0.3362035687758248,30.0,,
subQ-4,cohort2,Phgr1,score_endothelial,319.0,-0.3575892197231725,0.0829994963425863,60.0,,
subQ-4,cohort2,Phgr1,score_malignant,319.0,0.1290328701512464,0.4868628672674016,60.0,,
subQ-5,cohort2,Phgr1,score_ifn_response,91.0,,,,,
subQ-5,cohort2,Phgr1,score_fibroblast,91.0,,,,,
subQ-5,cohort2,Phgr1,score_hypoxia,91.0,,,,,
subQ-5,cohort2,Phgr1,score_macrophage,91.0,,,,,
subQ-5,cohort2,Phgr1,score_cd8_like,91.0,,,,,
subQ-5,cohort2,Phgr1,score_endothelial,91.0,,,,,
subQ-5,cohort2,Phgr1,score_malignant,91.0,,,,,
