slice,gene,response,n_source,n_control,aipw_tau,aipw_se,aipw_ci_low,aipw_ci_high,v2_durbin_delta_ref,compute_time_s,mean_propensity,v2_durbin_p_ref
M001,Phgr1,score_malignant,1471,548,-0.0364,0.045,-0.1247,0.0518,1.0739,7.8,0.4966,0.0
M001,Phgr1,score_cd8_like,1471,548,0.0976,0.0466,0.0063,0.1889,0.0274,5.0,0.4965,0.329982
M001,Phgr1,score_macrophage,1471,548,0.2853,0.0838,0.1211,0.4496,0.3457,5.0,0.4965,0.0
M001,Phgr1,score_fibroblast,1471,548,0.1457,0.0327,0.0816,0.2098,0.6191,5.0,0.4966,0.0
M001,Phgr1,score_endothelial,1471,548,-0.0615,0.0237,-0.1079,-0.0152,-0.0987,5.0,0.4961,0.002937
M001,Phgr1,score_hypoxia,1471,548,0.3885,0.0327,0.3245,0.4526,1.3408,4.8,0.4965,0.0
M001,Phgr1,score_ifn_response,1471,548,0.14,0.0333,0.0746,0.2053,0.2656,4.9,0.4965,0.0
M002,Phgr1,score_malignant,2409,191,0.1872,0.0278,0.1327,0.2418,,4.5,0.4994,
M002,Phgr1,score_cd8_like,2409,191,0.0795,0.0468,-0.0121,0.1712,,4.7,0.4994,
M002,Phgr1,score_macrophage,2409,191,0.1704,0.0255,0.1205,0.2203,,4.9,0.4994,
M002,Phgr1,score_fibroblast,2409,191,0.2684,0.0224,0.2245,0.3123,,4.8,0.4994,
M002,Phgr1,score_endothelial,2409,191,0.1017,0.0482,0.0073,0.1961,,4.9,0.4994,
M002,Phgr1,score_hypoxia,2409,191,0.0505,0.0208,0.0098,0.0912,,4.9,0.4994,
M002,Phgr1,score_ifn_response,2409,191,0.568,0.034,0.5013,0.6346,,4.9,0.4994,
M003,Phgr1,score_malignant,179,1813,-2.2424,1.7222,-5.618,1.1332,,3.1,0.4874,
M003,Phgr1,score_cd8_like,179,1813,-0.0945,0.1524,-0.3933,0.2042,,3.1,0.4859,
M003,Phgr1,score_macrophage,179,1813,0.1596,0.3135,-0.4548,0.7741,,3.3,0.4866,
M003,Phgr1,score_fibroblast,179,1813,-1.0338,0.773,-2.5488,0.4813,,3.2,0.4863,
M003,Phgr1,score_endothelial,179,1813,0.0353,0.1552,-0.2689,0.3395,,3.2,0.4855,
M003,Phgr1,score_hypoxia,179,1813,0.9605,0.7489,-0.5073,2.4283,,3.2,0.4861,
M003,Phgr1,score_ifn_response,179,1813,-0.3274,0.2363,-0.7905,0.1357,,3.3,0.4853,
