slice,niche_method,n_niches,response,n_source,delta,perm_p
M001,leiden_res0.3,288,score_malignant,1471,0.2968,0.009900990099009901
M001,leiden_res0.3,288,score_cd8_like,1471,0.1354,0.009900990099009901
M001,leiden_res0.3,288,score_macrophage,1471,0.2765,0.009900990099009901
M001,leiden_res0.3,288,score_fibroblast,1471,0.2398,0.009900990099009901
M001,leiden_res0.3,288,score_endothelial,1471,-0.0416,0.0594059405940594
M001,leiden_res0.3,288,score_hypoxia,1471,0.6101,0.009900990099009901
M001,leiden_res0.3,288,score_ifn_response,1471,0.2122,0.009900990099009901
M001,kmeans_k12,12,score_malignant,1471,0.2968,0.009900990099009901
M001,kmeans_k12,12,score_cd8_like,1471,0.1354,0.009900990099009901
M001,kmeans_k12,12,score_macrophage,1471,0.2765,0.009900990099009901
M001,kmeans_k12,12,score_fibroblast,1471,0.2398,0.009900990099009901
M001,kmeans_k12,12,score_endothelial,1471,-0.0416,0.0594059405940594
M001,kmeans_k12,12,score_hypoxia,1471,0.6101,0.009900990099009901
M001,kmeans_k12,12,score_ifn_response,1471,0.2122,0.009900990099009901
M001,leiden_res0.6,298,score_malignant,1471,0.2968,0.009900990099009901
M001,leiden_res0.6,298,score_cd8_like,1471,0.1354,0.009900990099009901
M001,leiden_res0.6,298,score_macrophage,1471,0.2765,0.009900990099009901
M001,leiden_res0.6,298,score_fibroblast,1471,0.2398,0.009900990099009901
M001,leiden_res0.6,298,score_endothelial,1471,-0.0416,0.0594059405940594
M001,leiden_res0.6,298,score_hypoxia,1471,0.6101,0.009900990099009901
M001,leiden_res0.6,298,score_ifn_response,1471,0.2122,0.009900990099009901
M001,leiden_res1.0,313,score_malignant,1471,0.2968,0.009900990099009901
M001,leiden_res1.0,313,score_cd8_like,1471,0.1354,0.009900990099009901
M001,leiden_res1.0,313,score_macrophage,1471,0.2765,0.009900990099009901
M001,leiden_res1.0,313,score_fibroblast,1471,0.2398,0.009900990099009901
M001,leiden_res1.0,313,score_endothelial,1471,-0.0416,0.0594059405940594
M001,leiden_res1.0,313,score_hypoxia,1471,0.6101,0.009900990099009901
M001,leiden_res1.0,313,score_ifn_response,1471,0.2122,0.009900990099009901
M002,leiden_res0.3,388,score_malignant,2409,0.2872,0.009900990099009901
M002,leiden_res0.3,388,score_cd8_like,2409,0.073,0.009900990099009901
M002,leiden_res0.3,388,score_macrophage,2409,0.2786,0.009900990099009901
M002,leiden_res0.3,388,score_fibroblast,2409,0.4429,0.009900990099009901
M002,leiden_res0.3,388,score_endothelial,2409,-0.0104,0.297029702970297
M002,leiden_res0.3,388,score_hypoxia,2409,0.187,0.009900990099009901
M002,leiden_res0.3,388,score_ifn_response,2409,0.6929,0.009900990099009901
M002,kmeans_k12,12,score_malignant,2409,0.2872,0.009900990099009901
M002,kmeans_k12,12,score_cd8_like,2409,0.073,0.009900990099009901
M002,kmeans_k12,12,score_macrophage,2409,0.2786,0.009900990099009901
M002,kmeans_k12,12,score_fibroblast,2409,0.4429,0.009900990099009901
M002,kmeans_k12,12,score_endothelial,2409,-0.0104,0.297029702970297
M002,kmeans_k12,12,score_hypoxia,2409,0.187,0.009900990099009901
M002,kmeans_k12,12,score_ifn_response,2409,0.6929,0.009900990099009901
M002,leiden_res0.6,392,score_malignant,2409,0.2872,0.009900990099009901
M002,leiden_res0.6,392,score_cd8_like,2409,0.073,0.009900990099009901
M002,leiden_res0.6,392,score_macrophage,2409,0.2786,0.009900990099009901
M002,leiden_res0.6,392,score_fibroblast,2409,0.4429,0.009900990099009901
M002,leiden_res0.6,392,score_endothelial,2409,-0.0104,0.297029702970297
M002,leiden_res0.6,392,score_hypoxia,2409,0.187,0.009900990099009901
M002,leiden_res0.6,392,score_ifn_response,2409,0.6929,0.009900990099009901
M002,leiden_res1.0,400,score_malignant,2409,0.2872,0.009900990099009901
M002,leiden_res1.0,400,score_cd8_like,2409,0.073,0.009900990099009901
M002,leiden_res1.0,400,score_macrophage,2409,0.2786,0.009900990099009901
M002,leiden_res1.0,400,score_fibroblast,2409,0.4429,0.009900990099009901
M002,leiden_res1.0,400,score_endothelial,2409,-0.0104,0.297029702970297
