gene,response,n_sources,delta_gene,delta_ntc_mean,delta_ntc_std,excess,z,p,q
Bcam,score_ifn_response,13988,0.12680018,0.14851191639900208,0.02267514214385013,-0.021711737,-0.95751274,0.3383085210115375,0.47703935336878667
Bcam,score_fibroblast,13988,-0.89264286,-1.0666453838348389,0.09155293104163774,0.17400253,1.9005677,0.05735866605483042,0.11813963978613894
Bcam,score_hypoxia,13988,0.435092,0.43627801537513733,0.0078221954696572,-0.0011860132,-0.15162154,0.8794854469772959,0.9025086262175392
Bcam,score_macrophage,13988,0.13058034,0.05943596363067627,0.028571207147292357,0.07114437,2.4900723,0.012771712921590739,0.03209302221322801
Bcam,score_cd8_like,13988,0.117623895,0.11287952214479446,0.01047361809769778,0.0047443733,0.4529832,0.6505608384788448,0.7542908823334527
Bcam,score_endothelial,13988,0.07966912,0.0016970961587503552,0.02258747196060368,0.077972025,3.452003,0.0005564415353129792,0.0017311514431959355
Bcam,score_malignant,13988,0.490049,0.3169563412666321,0.003065118151056189,0.17309266,56.471775,0.0,0.0
Cd74,score_ifn_response,740,0.35326594,0.14851191639900208,0.02267514214385013,0.20475402,9.029889,0.0,0.0
Cd74,score_fibroblast,740,-1.0482486,-1.0666453838348389,0.09155293104163774,0.018396735,0.20094098,0.8407447225882996,0.8853723613367103
Cd74,score_hypoxia,740,0.436347,0.43627801537513733,0.0078221954696572,6.8992376e-05,0.008820078,0.9929626869141894,0.9942978880879316
Cd74,score_macrophage,740,0.14902286,0.05943596363067627,0.028571207147292357,0.0895869,3.1355658,0.001715229701216181,0.004802643163405306
Cd74,score_cd8_like,740,0.13007654,0.11287952214479446,0.01047361809769778,0.01719702,1.6419369,0.10060308202854151,0.1914388745397489
Cd74,score_endothelial,740,0.013985357,0.0016970961587503552,0.02258747196060368,0.012288261,0.54402995,0.586420862394093,0.7094968458595199
Cd74,score_malignant,740,0.36873603,0.3169563412666321,0.003065118151056189,0.051779687,16.893211,0.0,0.0
H2-Ea,score_ifn_response,185,0.11249091,0.14851191639900208,0.02267514214385013,-0.03602101,-1.5885682,0.11215790994672958,0.21137452259191344
H2-Ea,score_fibroblast,185,-1.1177626,-1.0666453838348389,0.09155293104163774,-0.05111718,-0.55833477,0.5766158077854635,0.7019670703475208
H2-Ea,score_hypoxia,185,0.51365256,0.43627801537513733,0.0078221954696572,0.07737455,9.891666,0.0,0.0
H2-Ea,score_macrophage,185,0.022620983,0.05943596363067627,0.028571207147292357,-0.03681498,-1.2885343,0.19756004263884774,0.33380834790701863
H2-Ea,score_cd8_like,185,0.0885271,0.11287952214479446,0.01047361809769778,-0.024352424,-2.3251204,0.020065520493161015,0.048553605143945175
H2-Ea,score_endothelial,185,-0.019428186,0.0016970961587503552,0.02258747196060368,-0.021125283,-0.9352655,0.3496514998268032,0.48951209975752447
H2-Ea,score_malignant,185,0.38164097,0.3169563412666321,0.003065118151056189,0.06468463,21.10347,0.0,0.0
Rab8a,score_ifn_response,2010,0.17147163,0.14851191639900208,0.02267514214385013,0.02295971,1.0125498,0.31127526833809194,0.4576932158528654
Rab8a,score_fibroblast,2010,-1.1585894,-1.0666453838348389,0.09155293104163774,-0.09194398,-1.0042713,0.3152478782660042,0.4576932158528654
Rab8a,score_hypoxia,2010,0.5185626,0.43627801537513733,0.0078221954696572,0.0822846,10.519375,0.0,0.0
Rab8a,score_macrophage,2010,0.009793982,0.05943596363067627,0.028571207147292357,-0.04964198,-1.7374828,0.08230198984478565,0.1629413132280605
Rab8a,score_cd8_like,2010,0.09701487,0.11287952214479446,0.01047361809769778,-0.015864655,-1.5147253,0.129841977614098,0.2378413795547963
Rab8a,score_endothelial,2010,-0.024450766,0.0016970961587503552,0.02258747196060368,-0.026147863,-1.1576267,0.2470163888222907,0.4001257207369337
Rab8a,score_malignant,2010,0.42030787,0.3169563412666321,0.003065118151056189,0.10335153,33.718613,0.0,0.0
Mcoln1,score_ifn_response,147,0.30739224,0.14851191639900208,0.02267514214385013,0.15888032,7.0068064,2.4382718066817688e-12,1.1947531852740667e-11
Mcoln1,score_fibroblast,147,-1.1221992,-1.0666453838348389,0.09155293104163774,-0.055553794,-0.6067943,0.543987432884345,0.6791180690785453
Mcoln1,score_hypoxia,147,0.44472885,0.43627801537513733,0.0078221954696572,0.008450836,1.0803663,0.2799791170299293,0.4253946274253189
Mcoln1,score_macrophage,147,0.08045544,0.05943596363067627,0.028571207147292357,0.021019474,0.73568726,0.4619210471521078,0.6076276861866653
Mcoln1,score_cd8_like,147,0.08884533,0.11287952214479446,0.01047361809769778,-0.024034195,-2.2947366,0.021748222593425792,0.051983556442822626
Mcoln1,score_endothelial,147,-0.026694616,0.0016970961587503552,0.02258747196060368,-0.028391713,-1.2569673,0.2087654744987304,0.3467629915402641
Mcoln1,score_malignant,147,0.33688444,0.3169563412666321,0.003065118151056189,0.019928098,6.501576,7.948286473435928e-11,3.7996686555937606e-10
Spint1,score_ifn_response,75,0.17327043,0.14851191639900208,0.02267514214385013,0.024758518,1.0918792,0.27488617991076714,0.4209194629883622
Spint1,score_fibroblast,75,-1.0886505,-1.0666453838348389,0.09155293104163774,-0.022005081,-0.24035366,0.8100561001948963,0.872368107902196
Spint1,score_hypoxia,75,0.4536405,0.43627801537513733,0.0078221954696572,0.017362475,2.2196424,0.026443051635390624,0.06097456612395955
Spint1,score_macrophage,75,0.06082524,0.05943596363067627,0.028571207147292357,0.0013892762,0.048625045,0.9612181109244231,0.9761593250838702
Spint1,score_cd8_like,75,0.116227254,0.11287952214479446,0.01047361809769778,0.0033477321,0.31963474,0.7492452394574487,0.8296726945404517
Spint1,score_endothelial,75,-0.011162473,0.0016970961587503552,0.02258747196060368,-0.012859569,-0.56932306,0.5691369183083532,0.7008253762984986
Spint1,score_malignant,75,0.33465979,0.3169563412666321,0.003065118151056189,0.017703444,5.775779,7.65979635275471e-09,3.412091102590734e-08
Utrn,score_ifn_response,124,0.17723948,0.14851191639900208,0.02267514214385013,0.028727561,1.2669187,0.2051843760753167,0.3437276727415562
Utrn,score_fibroblast,124,-1.1589923,-1.0666453838348389,0.09155293104163774,-0.09234691,-1.0086724,0.3131317933752549,0.4576932158528654
Utrn,score_hypoxia,124,0.46259245,0.43627801537513733,0.0078221954696572,0.026314437,3.3640733,0.0007680114908370506,0.0023520351906884673
Utrn,score_macrophage,124,0.01916365,0.05943596363067627,0.028571207147292357,-0.040272314,-1.409542,0.15867497392777086,0.27951912931141365
Utrn,score_cd8_like,124,0.07815051,0.11287952214479446,0.01047361809769778,-0.03472901,-3.3158562,0.0009136282117634398,0.0027131989319035483
Utrn,score_endothelial,124,-0.023868356,0.0016970961587503552,0.02258747196060368,-0.025565453,-1.1318421,0.25770080921602245,0.40697030321695493
Utrn,score_malignant,124,0.35462168,0.3169563412666321,0.003065118151056189,0.037665337,12.288381,0.0,0.0
Ifitm3,score_ifn_response,184,0.41093886,0.14851191639900208,0.02267514214385013,0.26242694,11.573332,0.0,0.0
Ifitm3,score_fibroblast,184,-1.0821977,-1.0666453838348389,0.09155293104163774,-0.015552282,-0.16987203,0.8651107777346685,0.8924300654526055
Ifitm3,score_hypoxia,184,0.39035773,0.43627801537513733,0.0078221954696572,-0.045920283,-5.870511,4.344538062639458e-09,1.9803010704124042e-08
Ifitm3,score_macrophage,184,0.20567515,0.05943596363067627,0.028571207147292357,0.14623919,5.1184115,3.081196922050111e-07,1.2581554098371286e-06
Ifitm3,score_cd8_like,184,0.13970087,0.11287952214479446,0.01047361809769778,0.026821353,2.5608487,0.010441681498121191,0.02692854702147044
Ifitm3,score_endothelial,184,0.0136479605,0.0016970961587503552,0.02258747196060368,0.011950864,0.5290926,0.5967412077350907,0.7175538448839126
Ifitm3,score_malignant,184,0.34151438,0.3169563412666321,0.003065118151056189,0.024558038,8.012101,1.1102230246251565e-15,5.726413495435018e-15
Cttn,score_ifn_response,123,0.11349516,0.14851191639900208,0.02267514214385013,-0.035016753,-1.5442793,0.12252067610446704,0.22870526206167183
Cttn,score_fibroblast,123,-1.025033,-1.0666453838348389,0.09155293104163774,0.041612387,0.45451728,0.6494565610315863,0.7542908823334527
Cttn,score_hypoxia,123,0.5165977,0.43627801537513733,0.0078221954696572,0.08031967,10.268176,0.0,0.0
Cttn,score_macrophage,123,0.051017314,0.05943596363067627,0.028571207147292357,-0.008418649,-0.29465503,0.7682574233407318,0.8412204188535387
Cttn,score_cd8_like,123,0.080603294,0.11287952214479446,0.01047361809769778,-0.032276228,-3.0816693,0.0020584336242701617,0.0056824364839007276
Cttn,score_endothelial,123,-0.0146375485,0.0016970961587503552,0.02258747196060368,-0.016334645,-0.7231728,0.4695737373981639,0.6135763502002675
Cttn,score_malignant,123,0.4285824,0.3169563412666321,0.003065118151056189,0.11162606,36.41819,0.0,0.0
Blnk,score_ifn_response,182,0.12413522,0.14851191639900208,0.02267514214385013,-0.024376698,-1.0750406,0.2823565610690806,0.4257068151503061
Blnk,score_fibroblast,182,-1.0987175,-1.0666453838348389,0.09155293104163774,-0.032072067,-0.35031176,0.7261047434569221,0.8179110903307858
Blnk,score_hypoxia,182,0.49941206,0.43627801537513733,0.0078221954696572,0.063134044,8.071141,6.661338147750939e-16,3.5287088566464433e-15
Blnk,score_macrophage,182,0.051555313,0.05943596363067627,0.028571207147292357,-0.00788065,-0.2758249,0.7826825544619502,0.8522543370807901
Blnk,score_cd8_like,182,0.09722211,0.11287952214479446,0.01047361809769778,-0.01565741,-1.494938,0.13493061961613328,0.24487408745150116
Blnk,score_endothelial,182,-0.018572235,0.0016970961587503552,0.02258747196060368,-0.020269332,-0.8973705,0.3695212393173253,0.5064766636796906
Blnk,score_malignant,182,0.37906137,0.3169563412666321,0.003065118151056189,0.06210503,20.261871,0.0,0.0
Ccn1,score_ifn_response,207,0.17090191,0.14851191639900208,0.02267514214385013,0.022389993,0.9874246,0.3234345236637255,0.46612622528007497
Ccn1,score_fibroblast,207,-0.93677455,-1.0666453838348389,0.09155293104163774,0.12987083,1.4185328,0.15603525544457564,0.27802645515578933
Ccn1,score_hypoxia,207,0.36219847,0.43627801537513733,0.0078221954696572,-0.07407954,-9.470429,0.0,0.0
Ccn1,score_macrophage,207,0.13108909,0.05943596363067627,0.028571207147292357,0.07165313,2.507879,0.012145824421679663,0.030916643982457324
Ccn1,score_cd8_like,207,0.14215183,0.11287952214479446,0.01047361809769778,0.02927231,2.7948613,0.00519219835862339,0.013568945043869126
Ccn1,score_endothelial,207,0.00698498,0.0016970961587503552,0.02258747196060368,0.005287884,0.23410693,0.8149019675181917,0.8727911783254949
Ccn1,score_malignant,207,0.27415544,0.3169563412666321,0.003065118151056189,-0.042800903,-13.963867,0.0,0.0
Piezo1,score_ifn_response,465,0.10969398,0.14851191639900208,0.02267514214385013,-0.038817935,-1.7119159,0.0869121771736383,0.17034786726033108
Piezo1,score_fibroblast,465,-0.9379223,-1.0666453838348389,0.09155293104163774,0.12872308,1.4059963,0.15972521674937923,0.27951912931141365
Piezo1,score_hypoxia,465,0.30137032,0.43627801537513733,0.0078221954696572,-0.1349077,-17.246782,0.0,0.0
Piezo1,score_macrophage,465,0.15340614,0.05943596363067627,0.028571207147292357,0.09397018,3.2889817,0.0010055056966107312,0.002941479351279154
Piezo1,score_cd8_like,465,0.14794736,0.11287952214479446,0.01047361809769778,0.035067834,3.3482063,0.000813364459586241,0.0024526066781369728
Piezo1,score_endothelial,465,0.087212324,0.0016970961587503552,0.02258747196060368,0.08551523,3.7859583,0.00015311735812906235,0.0004840484224725197
Piezo1,score_malignant,465,0.24536723,0.3169563412666321,0.003065118151056189,-0.07158911,-23.35607,0.0,0.0
Atp13a2,score_ifn_response,140,0.12280808,0.14851191639900208,0.02267514214385013,-0.02570384,-1.1335691,0.25697533172867093,0.40697030321695493
Atp13a2,score_fibroblast,140,-1.104372,-1.0666453838348389,0.09155293104163774,-0.03772664,-0.41207466,0.6802847046833294,0.7797415328534067
Atp13a2,score_hypoxia,140,0.48591924,0.43627801537513733,0.0078221954696572,0.04964122,6.346201,2.206970162177413e-10,1.029919409016126e-09
Atp13a2,score_macrophage,140,0.016078241,0.05943596363067627,0.028571207147292357,-0.043357722,-1.517532,0.1291324228270161,0.2378413795547963
Atp13a2,score_cd8_like,140,0.10696237,0.11287952214479446,0.01047361809769778,-0.0059171543,-0.564958,0.5721023479987744,0.7008253762984986
Atp13a2,score_endothelial,140,-0.024090247,0.0016970961587503552,0.02258747196060368,-0.025787344,-1.1416658,0.2535929549704634,0.40697030321695493
Atp13a2,score_malignant,140,0.3677272,0.3169563412666321,0.003065118151056189,0.05077085,16.564075,0.0,0.0
Gdf15,score_ifn_response,436,0.2673216,0.14851191639900208,0.02267514214385013,0.11880967,5.239644,1.608866184721336e-07,6.709314302242167e-07
Gdf15,score_fibroblast,436,-1.0845772,-1.0666453838348389,0.09155293104163774,-0.017931819,-0.19586286,0.8447175080100247,0.8853723613367103
Gdf15,score_hypoxia,436,0.4433847,0.43627801537513733,0.0078221954696572,0.0071066916,0.90852904,0.36359877637019533,0.5018687335813964
Gdf15,score_macrophage,436,0.09705131,0.05943596363067627,0.028571207147292357,0.037615344,1.3165473,0.18799042215947637,0.32040106733267276
Gdf15,score_cd8_like,436,0.103663504,0.11287952214479446,0.01047361809769778,-0.009216018,-0.87992686,0.3788989326301797,0.5121668330725188
Gdf15,score_endothelial,436,-0.005634429,0.0016970961587503552,0.02258747196060368,-0.007331525,-0.32458368,0.7454961809161267,0.8296726945404517
Gdf15,score_malignant,436,0.35874802,0.3169563412666321,0.003065118151056189,0.041791677,13.634606,0.0,0.0
Abi1,score_ifn_response,75,0.21761057,0.14851191639900208,0.02267514214385013,0.06909865,3.0473306,0.0023088360822416387,0.0062851648905466835
Abi1,score_fibroblast,75,-1.1120092,-1.0666453838348389,0.09155293104163774,-0.045363784,-0.49549243,0.6202525652783608,0.738864376429624
Abi1,score_hypoxia,75,0.47025242,0.43627801537513733,0.0078221954696572,0.03397441,4.343334,1.4033640008515036e-05,5.1567088172772885e-05
Abi1,score_macrophage,75,0.027223025,0.05943596363067627,0.028571207147292357,-0.03221294,-1.1274616,0.259547387255711,0.40697030321695493
Abi1,score_cd8_like,75,0.11684408,0.11287952214479446,0.01047361809769778,0.0039645582,0.37852806,0.7050383539639231,0.8034157987030752
Abi1,score_endothelial,75,0.00993231,0.0016970961587503552,0.02258747196060368,0.008235214,0.3645921,0.7154159089543732,0.810529006676631
Abi1,score_malignant,75,0.32951143,0.3169563412666321,0.003065118151056189,0.012555093,4.0961204,4.201315651108928e-05,0.0001497196122940636
Phgr1,score_ifn_response,119,0.247195,0.14851191639900208,0.02267514214385013,0.09868309,4.3520384,1.3487764099373578e-05,5.0838495451485025e-05
Phgr1,score_fibroblast,119,-0.7197722,-1.0666453838348389,0.09155293104163774,0.34687316,3.7887719,0.00015139385647522374,0.0004840484224725197
Phgr1,score_hypoxia,119,0.37253734,0.43627801537513733,0.0078221954696572,-0.06374067,-8.148694,4.440892098500626e-16,2.4178190314058966e-15
Phgr1,score_macrophage,119,0.15221491,0.05943596363067627,0.028571207147292357,0.09277895,3.2472885,0.001165102366405657,0.0033582362325810114
Phgr1,score_cd8_like,119,0.15257853,0.11287952214479446,0.01047361809769778,0.03969901,3.7903817,0.0001504159774685654,0.0004840484224725197
Phgr1,score_endothelial,119,0.069991745,0.0016970961587503552,0.02258747196060368,0.06829465,3.0235631,0.002498168870842532,0.0067074123107552916
Phgr1,score_malignant,119,0.31500715,0.3169563412666321,0.003065118151056189,-0.0019491911,-0.6359269,0.5248240671818338,0.6636484978557382
Abcc3,score_ifn_response,45,0.058117516,0.14851191639900208,0.02267514214385013,-0.0903944,-3.9864976,6.705579428301078e-05,0.00023469527999053774
Abcc3,score_fibroblast,45,-1.1674352,-1.0666453838348389,0.09155293104163774,-0.100789785,-1.1008909,0.2709441540155082,0.41944342515238237
Abcc3,score_hypoxia,45,0.57942235,0.43627801537513733,0.0078221954696572,0.14314434,18.299767,0.0,0.0
Abcc3,score_macrophage,45,-0.0058111697,0.05943596363067627,0.028571207147292357,-0.06524713,-2.2836673,0.022391089712732182,0.052875344381873586
Abcc3,score_cd8_like,45,0.06640287,0.11287952214479446,0.01047361809769778,-0.046476655,-4.4374976,9.101072971029467e-06,3.567620604643551e-05
Abcc3,score_endothelial,45,-0.0174228,0.0016970961587503552,0.02258747196060368,-0.019119898,-0.8464824,0.39728369025201404,0.5333397485574983
Abcc3,score_malignant,45,0.42470047,0.3169563412666321,0.003065118151056189,0.10774413,35.151707,0.0,0.0
Abca2,score_ifn_response,45,0.115785584,0.14851191639900208,0.02267514214385013,-0.032726333,-1.4432691,0.14894467127127053,0.2678271153134773
Abca2,score_fibroblast,45,-1.0480268,-1.0666453838348389,0.09155293104163774,0.018618584,0.20336415,0.8388504194391839,0.8853723613367103
Abca2,score_hypoxia,45,0.42551,0.43627801537513733,0.0078221954696572,-0.010768026,-1.3765991,0.16863623754190105,0.29250179255055403
Abca2,score_macrophage,45,0.0015285313,0.05943596363067627,0.028571207147292357,-0.057907432,-2.0267758,0.042685342651305636,0.09193766109511983
Abca2,score_cd8_like,45,0.10168882,0.11287952214479446,0.01047361809769778,-0.011190705,-1.068466,0.2853103827029635,0.42687660312809805
Abca2,score_endothelial,45,0.042692948,0.0016970961587503552,0.02258747196060368,0.04099585,1.8149818,0.06952670365265323,0.13905340730530646
Abca2,score_malignant,45,0.31180364,0.3169563412666321,0.003065118151056189,-0.0051527023,-1.681078,0.09274777332636663,0.178221211489881
Actg1,score_ifn_response,81,0.14803857,0.14851191639900208,0.02267514214385013,-0.0004733503,-0.020875296,0.9833451335653971,0.9934827122619475
Actg1,score_fibroblast,81,-1.1730253,-1.0666453838348389,0.09155293104163774,-0.10637987,-1.1619494,0.24525602075105768,0.4001257207369337
Actg1,score_hypoxia,81,0.603589,0.43627801537513733,0.0078221954696572,0.16731098,21.389263,0.0,0.0
Actg1,score_macrophage,81,-0.008460671,0.05943596363067627,0.028571207147292357,-0.067896634,-2.3764007,0.017482465822683757,0.04283204126557521
Actg1,score_cd8_like,81,0.06565645,0.11287952214479446,0.01047361809769778,-0.04722307,-4.508764,6.520645785990098e-06,2.608258314396039e-05
Actg1,score_endothelial,81,-0.04153921,0.0016970961587503552,0.02258747196060368,-0.043236308,-1.914172,0.05559817536494349,0.1159281103354141
Actg1,score_malignant,81,0.40681297,0.3169563412666321,0.003065118151056189,0.089856625,29.315876,0.0,0.0
Gnas,score_ifn_response,93,0.14867397,0.14851191639900208,0.02267514214385013,0.00016205013,0.0071465983,0.9942978880879316,0.9942978880879316
Gnas,score_fibroblast,93,-1.1081825,-1.0666453838348389,0.09155293104163774,-0.041537166,-0.45369565,0.6500478947706181,0.7542908823334527
Gnas,score_hypoxia,93,0.47833773,0.43627801537513733,0.0078221954696572,0.04205972,5.3769712,7.574926552678107e-08,3.227577400706324e-07
Gnas,score_macrophage,93,0.050698765,0.05943596363067627,0.028571207147292357,-0.008737199,-0.30580434,0.7597536222889976,0.8365826402732782
Gnas,score_cd8_like,93,0.07968962,0.11287952214479446,0.01047361809769778,-0.0331899,-3.1689048,0.0015301451539135869,0.004346499277783522
Gnas,score_endothelial,93,-0.020161185,0.0016970961587503552,0.02258747196060368,-0.021858282,-0.96771705,0.3331856998252425,0.4732202693170111
Gnas,score_malignant,93,0.36516348,0.3169563412666321,0.003065118151056189,0.048207134,15.727659,0.0,0.0
H2-M2,score_ifn_response,279,0.16390978,0.14851191639900208,0.02267514214385013,0.015397862,0.6790635,0.49709762883709985,0.6452393063051097
H2-M2,score_fibroblast,279,-1.135261,-1.0666453838348389,0.09155293104163774,-0.068615675,-0.7494646,0.4535772446370374,0.6006833780328333
H2-M2,score_hypoxia,279,0.50212157,0.43627801537513733,0.0078221954696572,0.06584355,8.417529,0.0,0.0
H2-M2,score_macrophage,279,0.045349978,0.05943596363067627,0.028571207147292357,-0.014085986,-0.49301332,0.6220031740351426,0.738864376429624
H2-M2,score_cd8_like,279,0.10072969,0.11287952214479446,0.01047361809769778,-0.012149833,-1.1600416,0.24603188131542586,0.4001257207369337
H2-M2,score_endothelial,279,-0.0011183384,0.0016970961587503552,0.02258747196060368,-0.0028154347,-0.12464585,0.9008039271444035,0.9195706756265785
H2-M2,score_malignant,279,0.39336157,0.3169563412666321,0.003065118151056189,0.07640523,24.927336,0.0,0.0
Muc20,score_ifn_response,36,0.06250293,0.14851191639900208,0.02267514214385013,-0.08600899,-3.793096,0.00014878056426281816,0.0004840484224725197
Muc20,score_fibroblast,36,-1.1076511,-1.0666453838348389,0.09155293104163774,-0.04100573,-0.44789097,0.6542318877381987,0.7542908823334527
Muc20,score_hypoxia,36,0.55535436,0.43627801537513733,0.0078221954696572,0.11907634,15.22288,0.0,0.0
Muc20,score_macrophage,36,0.011071473,0.05943596363067627,0.028571207147292357,-0.04836449,-1.6927702,0.09049920892221275,0.17562222721538315
Muc20,score_cd8_like,36,0.053064447,0.11287952214479446,0.01047361809769778,-0.059815075,-5.711023,1.122991633017989e-08,4.891252446033907e-08
Muc20,score_endothelial,36,-0.013458112,0.0016970961587503552,0.02258747196060368,-0.015155208,-0.6709564,0.5022483222452507,0.6476359944741391
Muc20,score_malignant,36,0.43596584,0.3169563412666321,0.003065118151056189,0.119009495,38.82705,0.0,0.0
Pgap6,score_ifn_response,74,0.23839113,0.14851191639900208,0.02267514214385013,0.089879215,3.9637775,7.377300336797177e-05,0.0002536755905284643
Pgap6,score_fibroblast,74,-1.0895171,-1.0666453838348389,0.09155293104163774,-0.022871733,-0.24981979,0.8027267182865594,0.8692510319567162
Pgap6,score_hypoxia,74,0.5141034,0.43627801537513733,0.0078221954696572,0.0778254,9.949304,0.0,0.0
Pgap6,score_macrophage,74,0.12233875,0.05943596363067627,0.028571207147292357,0.062902786,2.2016146,0.02769254244263286,0.06311323626460513
Pgap6,score_cd8_like,74,0.090346366,0.11287952214479446,0.01047361809769778,-0.022533156,-2.1514204,0.03144303600456455,0.07003221655562104
Pgap6,score_endothelial,74,-0.009188612,0.0016970961587503552,0.02258747196060368,-0.010885708,-0.48193565,0.6298516599398001,0.7436802731819326
Pgap6,score_malignant,74,0.4120655,0.3169563412666321,0.003065118151056189,0.095109165,31.029528,0.0,0.0
Clcn2,score_ifn_response,66,0.10178237,0.14851191639900208,0.02267514214385013,-0.04672955,-2.0608273,0.039319523277155044,0.0865913096890156
Clcn2,score_fibroblast,66,-1.1358739,-1.0666453838348389,0.09155293104163774,-0.06922853,-0.75615853,0.44955415273911004,0.59940553698548
Clcn2,score_hypoxia,66,0.49234793,0.43627801537513733,0.0078221954696572,0.05606991,7.168053,7.607248164731573e-13,3.823129846890739e-12
Clcn2,score_macrophage,66,-0.0028686821,0.05943596363067627,0.028571207147292357,-0.062304646,-2.1806796,0.029207125928762068,0.06579996186249845
Clcn2,score_cd8_like,66,0.06726938,0.11287952214479446,0.01047361809769778,-0.045610145,-4.354765,1.3320978255793037e-05,5.0838495451485025e-05
Clcn2,score_endothelial,66,-0.043943938,0.0016970961587503552,0.02258747196060368,-0.045641035,-2.020635,0.04331757445942941,0.09228526732661048
